Scenario,order_size_mean,limit_price_decay_rate,mm_base_spread,n_rep,avg_spread_mean,avg_spread_CI95_lower,avg_spread_CI95_upper,price_volatility_mean,price_volatility_CI95_lower,price_volatility_CI95_upper,depth_within_5_ticks_mean,depth_within_5_ticks_CI95_lower,depth_within_5_ticks_CI95_upper,mm_final_pnl_per_1k_trades_mean,mm_final_pnl_per_1k_trades_CI95_lower,mm_final_pnl_per_1k_trades_CI95_upper,mm_final_inventory_mean,mm_final_inventory_CI95_lower,mm_final_inventory_CI95_upper,mm_realized_spread_mean,mm_realized_spread_CI95_lower,mm_realized_spread_CI95_upper
S46,5.0,0.5,0.1,5,0.4246272689405426,0.4198233055775962,0.4294312323034891,7.319157867142752e-07,7.011135445594043e-07,7.62718028869146e-07,4.0,-7.105780420791195,15.105780420791197,6.938515686320346,6.363249604256264,7.513781768384428,-1.0,-2.2416639982037667,0.2416639982037665,-0.0820011092158454,-0.0848223659443354,-0.0791798524873554
S47,5.0,0.5,0.25,5,0.4815217871293259,0.4732100143858846,0.4898335598727672,6.353059693857328e-07,6.013453562007106e-07,6.69266582570755e-07,0.0,0.0,0.0,16.059072037207862,15.44444391763844,16.673700156777286,-1.8,-5.462382628097132,1.862382628097132,-0.1882183955951467,-0.19007470735607,-0.1863620838342233
S48,5.0,0.5,0.5,5,0.5628089103587148,0.5571124649507735,0.5685053557666562,6.92965638824432e-07,6.590154701794739e-07,7.269158074693902e-07,0.0,0.0,0.0,24.50390062770487,23.598044287520743,25.409756967888995,-2.4,-7.095394725411879,2.2953947254118785,-0.2974548696964634,-0.3042178370003096,-0.2906919023926171
S49,5.0,0.5,1.0,5,0.6446809755113077,0.6382392862255574,0.6511226647970579,9.212181471406302e-07,8.842626437572569e-07,9.581736505240033e-07,0.0,0.0,0.0,25.15954694117659,24.387789951737027,25.931303930616156,3.2,-3.1555733409509577,9.555573340950955,-0.376061472045453,-0.3830982334488236,-0.3690247106420824
S5,1.0,0.05,2.0,5,3.997318700826978,3.950172113493324,4.044465288160632,1.79477163823441e-05,1.550124294223476e-05,2.039418982245344e-05,0.0,0.0,0.0,689.170324423234,671.2205728937781,707.1200759526898,0.0,-6.391856642442563,6.391856642442563,-1.63612806148202,-1.6475023307240393,-1.6247537922400006
S50,5.0,0.5,2.0,5,0.6895537784888598,0.6768941125835495,0.7022134443941701,1.1206684765139147e-06,1.0716533026372462e-06,1.1696836503905832e-06,0.0,0.0,0.0,10.345357035956216,7.623511809687226,13.067202262225209,2.4,-16.76752816982271,21.567528169822708,-0.3949177110564023,-0.4178209714712294,-0.3720144506415751
S51,10.0,0.05,0.1,5,3.79558154847832,3.67060015335698,3.9205629435996583,4.646765432845393e-05,3.238987534107659e-05,6.054543331583127e-05,0.0,0.0,0.0,5.174857316207367,1.6318949301186372,8.717819702296097,3.2,-14.21430990847573,20.61430990847573,0.0517201406953062,-0.0200102343562713,0.1234505157468839
S52,10.0,0.05,0.25,5,3.8583578288102887,3.778690016322379,3.938025641298198,4.5610745543805e-05,3.269366017737203e-05,5.852783091023797e-05,0.0,0.0,0.0,11.295185150955612,7.627593532808218,14.962776769103009,2.0,-20.401628226173887,24.401628226173887,-0.0841392489086056,-0.1226043120640087,-0.0456741857532026
S53,10.0,0.05,0.5,5,3.981415240524031,3.901267281768969,4.061563199279092,4.495886226873968e-05,3.318640583267243e-05,5.6731318704806926e-05,0.0,0.0,0.0,20.33254869131662,15.684229749331015,24.980867633302225,5.0,-20.822432147617207,30.822432147617207,-0.3152859350782978,-0.3388899582245638,-0.2916819119320317
S54,10.0,0.05,1.0,5,4.194117635010143,4.146834743916597,4.241400526103688,4.0584157883036095e-05,2.6894295739544057e-05,5.427402002652813e-05,0.0,0.0,0.0,39.89073092295472,37.11468049711841,42.66678134879103,1.8,-11.642123923540677,15.242123923540676,-0.7566611465964387,-0.7816396940348358,-0.7316825991580416
